Cell Name,Cluster
E4_P2_M15,CD8_1
E5_P6_M15,CD8_4
E7_P1_M15,CD8_4
E8_P2_M15,CD8_1
E9_P1_M15,CD8_2
F10_P1_M15,CD8_4
F10_P2_M15,CD8_4
F11_P2_M15,CD8_2
F11_P5_M15,CD8_6
F12_P1_M15,CD8_1
F12_P6_M14,CD8_2
F2_P1_M15,CD8_2
F2_P6_M15,CD8_2
F3_P1_M15,CD8_4
F5_P1_M15,CD8_5
F5_P5_M15,CD8_1
F6_P2_M15,CD8_4
F6_P3_M15,CD8_1
F6_P5_M15,CD8_4
F7_P1_M15,CD8_5
F8_P5_M15,CD8_1
G10_P1_M15,CD8_4
G12_P1_M15,CD8_2
G12_P2_M15,CD8_4
G1_P1_M15,CD8_1
G1_P4_M15,CD8_2
G1_P5_M15,CD8_6
G3_P5_M15,CD8_4
G4_P1_M15,CD8_2
G4_P2_M15,CD8_4
G5_P1_M15,CD8_1
G5_P6_M15,CD8_2
G6_P2_M15,CD8_1
G6_P5_M15,CD8_1
G6_P6_M15,CD8_4
G8_P2_M15,CD8_4
G8_P5_M15,CD8_2
G8_P6_M15,CD8_1
G9_P1_M15,CD8_5
G9_P5_M15,CD8_6
H10_P4_M15,CD8_1
H11_P3_M15,CD8_4
H12_P1_M15,CD8_4
H12_P2_M15,CD8_2
H1_P2_M15,CD8_2
H1_P4_M15,CD8_6
H1_P6_M15,CD8_3
H4_P6_M15,CD8_1
H5_P1_M15,CD8_3
H6_P1_M15,CD8_2
H6_P3_M15,CD8_2
H6_P6_M15,CD8_4
H7_P2_M15,CD8_1
H7_P6_M15,CD8_2
H8_P1_M15,CD8_2
H9_P1_M15,CD8_2
H9_P6_M15,CD8_4
A10_P1_M55_L001,CD8_1
A10_P3_M55_L001,CD8_6
A10_P4_M55_L001,CD8_6
A11_P1_M55_L001,CD8_2
A11_P2_M55_L001,CD8_3
A11_P3_M55_L001,CD8_2
A11_P4_M55_L001,CD8_6
A12_P2_M55_L001,CD8_5
A2_P1_M55_L001,CD8_6
A2_P4_M55_L001,CD8_1
A3_P1_M55_L001,CD8_6
A3_P4_M55_L001,CD8_3
A4_P2_M55_L001,CD8_3
A4_P3_M55_L001,CD8_6
A4_P4_M55_L001,CD8_6
A5_P1_M55_L001,CD8_3
A5_P2_M55_L001,CD8_3
A5_P3_M55_L001,CD8_3
A5_P4_M55_L001,CD8_1
A6_P1_M55_L001,CD8_2
A6_P3_M55_L001,CD8_6
A6_P4_M55_L001,CD8_3
A7_P1_M55_L001,CD8_3
A7_P2_M55_L001,CD8_3
A7_P3_M55_L001,CD8_5
A7_P4_M55_L001,CD8_6
A8_P2_M55_L001,CD8_3
A8_P3_M55_L001,CD8_5
A8_P4_M55_L001,CD8_3
A9_P1_M55_L001,CD8_6
A9_P3_M55_L001,CD8_2
A9_P4_M55_L001,CD8_1
B10_P1_M55_L001,CD8_3
B10_P3_M55_L001,CD8_1
B11_P2_M55_L001,CD8_3
B12_P1_M55_L001,CD8_6
B12_P2_M55_L001,CD8_3
B1_P2_M55_L001,CD8_1
B1_P4_M55_L001,CD8_5
B2_P2_M55_L001,CD8_3
B3_P1_M55_L001,CD8_1
B3_P3_M55_L001,CD8_4
B4_P1_M55_L001,CD8_6
B4_P2_M55_L001,CD8_3
B4_P3_M55_L001,CD8_3
B4_P4_M55_L001,CD8_6
B5_P2_M55_L001,CD8_3
B5_P3_M55_L001,CD8_3
B5_P4_M55_L001,CD8_6
B6_P1_M55_L001,CD8_6
B6_P2_M55_L001,CD8_6
B6_P3_M55_L001,CD8_6
B7_P1_M55_L001,CD8_3
B7_P2_M55_L001,CD8_1
B7_P3_M55_L001,CD8_3
B7_P4_M55_L001,CD8_3
B8_P2_M55_L001,CD8_6
B8_P3_M55_L001,CD8_6
B8_P4_M55_L001,CD8_3
B9_P1_M55_L001,CD8_3
B9_P4_M55_L001,CD8_3
C10_P1_M55_L001,CD8_6
C10_P4_M55_L001,CD8_5
C11_P3_M55_L001,CD8_3
C12_P2_M55_L001,CD8_3
C12_P3_M55_L001,CD8_2
C1_P2_M55_L001,CD8_5
C1_P3_M55_L001,CD8_2
C1_P4_M55_L001,CD8_3
